teacher_gap_per_session,class_gap_per_session,overload_per_session,low_util_per_session,avg_util,n_sessions,Score,Type_Etablissement
0.5684210526315789,0.6578947368421053,0.0,0.0,0.8895520050125314,380.0,44.37,Ecole_Standard
0.5634517766497462,0.6751269035532995,0.0,0.0,0.9055807348320037,394.0,43.71,Ecole_Standard
0.6019900497512438,0.6467661691542289,0.0,0.0,0.9089226486614548,402.0,43.58,Ecole_Standard
0.6105263157894737,0.6526315789473685,0.0,0.0,0.8890883458646619,380.0,42.95,Ecole_Standard
0.6297229219143576,0.654911838790932,0.0,0.0,0.9089540602135062,397.0,42.07,Ecole_Standard
0.6185567010309279,0.6701030927835051,0.0,0.0,0.9024361806578303,388.0,41.75,Ecole_Standard
0.6231155778894473,0.6683417085427136,0.0,0.0,0.9004367073462551,398.0,41.66,Ecole_Standard
0.6178010471204188,0.680628272251309,0.0,0.0,0.8989591124407876,382.0,41.26,Ecole_Standard
0.6217616580310881,0.6787564766839378,0.0,0.0,0.902846656797434,386.0,41.19,Ecole_Standard
0.6190476190476191,0.6825396825396826,0.0,0.0,0.8990677752582517,378.0,41.11,Ecole_Standard
0.6503667481662592,0.6601466992665037,0.0,0.0,0.9121259750844104,409.0,40.98,Ecole_Standard
0.6520681265206812,0.6618004866180048,0.0,0.0,0.9154124666898392,411.0,40.83,Ecole_Standard
0.6417910447761194,0.6716417910447762,0.0,0.0,0.9061892916370529,402.0,40.75,Ecole_Standard
0.6349206349206349,0.6825396825396826,0.0,0.0,0.8982804232804233,378.0,40.48,Ecole_Standard
0.6599496221662469,0.6649874055415617,0.0,0.0,0.905367638239175,397.0,40.35,Ecole_Standard
0.6649874055415617,0.6649874055415617,0.0,0.0,0.919311502938707,397.0,40.15,Ecole_Standard
0.6416040100250626,0.6867167919799498,0.0,0.0,0.9025301348609619,399.0,40.0,Ecole_Standard
0.6570048309178744,0.6763285024154589,0.0,0.0,0.9135236945019555,414.0,39.9,Ecole_Standard
