ID_Classe,Type_Etablissement,Niveau,Nb_Etudiants,ID_Matiere,Nom_Matiere,ID_Enseignant,Nom_Enseignant,ID_Salle,Capacite_Salle,Type_Salle,Creneau,Jour,Heure_Debut,Heure_Fin,Score,Version
C0099,Centre_Soutien,Tronc_Commun,5,SUB_CENTRE_SOUTIEN_PHYSIQUE,PHYSIQUE,T0040,Prof_40,R073,20,Generale,Lundi_10:00-12:00,Lundi,10:00,12:00,39.44,1
C0099,Centre_Soutien,Tronc_Commun,5,SUB_CENTRE_SOUTIEN_CHIMIE,CHIMIE,T0145,Prof_145,R039,20,Generale,Mardi_08:00-10:00,Mardi,08:00,10:00,39.44,1
C0099,Centre_Soutien,Tronc_Commun,5,SUB_CENTRE_SOUTIEN_CHIMIE,CHIMIE,T0145,Prof_145,R064,15,Generale,Lundi_16:00-18:00,Lundi,16:00,18:00,39.44,1
C0099,Centre_Soutien,Tronc_Commun,5,SUB_CENTRE_SOUTIEN_CHIMIE,CHIMIE,T0073,Prof_73,R055,15,Generale,Jeudi_16:00-18:00,Jeudi,16:00,18:00,39.44,1
C0099,Centre_Soutien,Tronc_Commun,5,SUB_CENTRE_SOUTIEN_FRANCAIS,FRANCAIS,T0057,Prof_57,R064,15,Generale,Jeudi_10:00-12:00,Jeudi,10:00,12:00,39.44,1
C0099,Centre_Soutien,Tronc_Commun,5,SUB_CENTRE_SOUTIEN_ANGLAIS,ANGLAIS,T0187,Prof_187,R045,20,Generale,Vendredi_10:00-12:00,Vendredi,10:00,12:00,39.44,1
C0099,Centre_Soutien,Tronc_Commun,5,SUB_CENTRE_SOUTIEN_ANGLAIS,ANGLAIS,T0031,Prof_31,R017,15,Generale,Mardi_10:00-12:00,Mardi,10:00,12:00,39.44,1
C0057,Universite,Licence_2,162,SUB_UNIVERSITE_ALGEBRE,ALGEBRE,T0140,Prof_140,R010,200,Amphitheatre,Lundi_16:00-18:00,Lundi,16:00,18:00,39.44,1
C0057,Universite,Licence_2,162,SUB_UNIVERSITE_ALGEBRE,ALGEBRE,T0121,Prof_121,R022,200,Laboratoire,Jeudi_16:00-18:00,Jeudi,16:00,18:00,39.44,1
C0057,Universite,Licence_2,162,SUB_UNIVERSITE_ALGEBRE,ALGEBRE,T0140,Prof_140,R071,200,Laboratoire,Vendredi_16:00-18:00,Vendredi,16:00,18:00,39.44,1
C0057,Universite,Licence_2,162,SUB_UNIVERSITE_ANALYSE,ANALYSE,T0123,Prof_123,R009,200,Amphitheatre,Mardi_10:00-12:00,Mardi,10:00,12:00,39.44,1
C0057,Universite,Licence_2,162,SUB_UNIVERSITE_MECANIQUE_QUANTIQUE,MECANIQUE_QUANTIQUE,T0163,Prof_163,R009,200,Amphitheatre,Lundi_10:00-12:00,Lundi,10:00,12:00,39.44,1
C0057,Universite,Licence_2,162,SUB_UNIVERSITE_MECANIQUE_QUANTIQUE,MECANIQUE_QUANTIQUE,T0136,Prof_136,R009,200,Amphitheatre,Mercredi_10:00-12:00,Mercredi,10:00,12:00,39.44,1
